status,city,state,country,event,link
current,Florence,Tuscany,IT,PyCon IT,https://pycon.it
current,London,Greater London,UK,Residence,
future,Prague,,CR,EuroPython,
past,Los Angeles,CA,US,,
past,Las Vegas,NV,US,,
past,Columbia,MD,US,,
past,Tijuana,Baja California,MX,,
past,Houston,TX,US,Octopus Energy USA,https://octopusenergy.com
past,Warsaw,,PL,,
past,Atlanta,GA,US,PyCon,
past,Chicago,IL,US,PyCon,
past,Portland,OR,US,"PyCon,DjangoCon",
past,Seattle,WA,US,,
past,Medellin,,CO,PyCon CO,
past,Washington,DC,US,,
past,Arlington,VA,US,,
past,Falls Church,VA,US,,
past,New Bruinswick,NJ,US,,
past,New York,NY,US,,
past,Tampa,FL,US,,
past,Miami,FL,US,,
past,Orlando,FL,US,,
past,Cape Canaveral,FL,US,,
past,Riverside,CA,US,,
past,Corona,CA,US,,
past,Buenos Aires,,AR,,
past,Recife,,BR,,
past,Bologna,,IT,,
